w_statistic,p_value,model1_median_error,model2_median_error,model1_name,model2_name,data_type,dataset
9819.0,2.032871415171192e-62,3.6551191600807116e-05,8.468776903271392e-06,Lstm,SWT_CLSTM,CPU,Alibaba_30s
20636.0,3.333056287726996e-41,4.142608055804338e-05,8.468776903271392e-06,Arima,SWT_CLSTM,CPU,Alibaba_30s
3806.0,3.6608947321841803e-76,0.00036407149068031506,8.468776903271392e-06,Tfc,SWT_CLSTM,CPU,Alibaba_30s
25505.0,3.990744678366947e-33,2.628029864303871e-05,8.468776903271392e-06,PatchTST,SWT_CLSTM,CPU,Alibaba_30s
14068.0,1.5112740967971303e-53,6.015573072028227e-05,8.468776903271392e-06,TimeMixerPlusPlus,SWT_CLSTM,CPU,Alibaba_30s
3680.0,0.06134130748993839,3.045184179838858e-05,2.7619013899572138e-05,Lstm,SWT_CLSTM,CPU,Google_5m
2875.0,0.0002534243937008765,4.442225882948721e-05,2.7619013899572138e-05,Arima,SWT_CLSTM,CPU,Google_5m
1868.0,3.7440065687080345e-09,7.66096479278199e-05,2.7619013899572138e-05,Tfc,SWT_CLSTM,CPU,Google_5m
1938.0,9.486261978733883e-09,0.00010440352078218234,2.7619013899572138e-05,PatchTST,SWT_CLSTM,CPU,Google_5m
2069.0,5.072728018173779e-08,5.208248595072314e-05,2.7619013899572138e-05,TimeMixerPlusPlus,SWT_CLSTM,CPU,Google_5m
23992.0,1.5435293788920044e-35,6.119997308708644e-07,1.763067352952864e-07,Lstm,SWT_CLSTM,Mem,Alibaba_30s
8869.0,1.695912158346957e-64,2.541908251756059e-06,1.763067352952864e-07,Arima,SWT_CLSTM,Mem,Alibaba_30s
1687.0,2.440125423306671e-81,1.307161477040635e-05,1.763067352952864e-07,Tfc,SWT_CLSTM,Mem,Alibaba_30s
235.0,5.501086949321365e-85,1.789159511872416e-05,1.763067352952864e-07,PatchTST,SWT_CLSTM,Mem,Alibaba_30s
3235.0,1.534061554004699e-77,4.910763986778717e-06,1.763067352952864e-07,TimeMixerPlusPlus,SWT_CLSTM,Mem,Alibaba_30s
2881.0,0.00026692484662139217,2.7614020845734932e-05,1.5422761600992272e-05,Lstm,SWT_CLSTM,Mem,Google_5m
2321.0,1.0129822229486915e-06,3.096286014857271e-05,1.5422761600992272e-05,Arima,SWT_CLSTM,Mem,Google_5m
894.0,7.743449568510939e-16,0.0002034606058205737,1.5422761600992272e-05,Tfc,SWT_CLSTM,Mem,Google_5m
1771.0,9.929350724350638e-10,5.038612770781747e-05,1.5422761600992272e-05,PatchTST,SWT_CLSTM,Mem,Google_5m
733.0,3.904353519880027e-17,0.0002632277261265312,1.5422761600992272e-05,TimeMixerPlusPlus,SWT_CLSTM,Mem,Google_5m
